,DealId,Title,DateUpdated,DealStatus,DealIssuer,IssuerBorrowerType,Currency,Size_m,Deal Size,SizeType,Tenor,SubType,Region,DealIssuerLongName,AssetType,LEI,Cusip,Maturity,CouponType,Country,Guarantor,CallDate,PricingDate,Guidance,Ipt,Destinations,Bookrunners-Long,Bookrunners,OtherBookrunners,Moodys,MoodysModifier,S&P,S&PModifier,DBRS,DBRSModifier,Fitch,FitchModifier,OtherRatings,GroupList,OtherGroup,Settledate,Listed,Law,Denoms,Format,Notes,OfferingType,Sector,Stabilis,Uop,ProgramType,Business,Reopen,Fees,FirstPay,Coupon,Spread,Book_Size,Book,BookSizeType,NumberOfAccounts,Nic,FloatingRate,Reoffer,OversubscriptionRate,Yield,IssuePrice,StructuredFinanceType,CollateralType,Total,TotalType,Originator,OtherOriginators,ContentLinks,URLLinks,Distribution,Ticker,CountryOfRiskTitle,WNG,OriginalAmount,CouponBasis,ESG,ESG Type,AverageLife,TaxCall,PariPassuCall,CrossDefaultCall,ResetDate,ParCall,CleanUpCall,MakeWholeCall,EquityClawBack,RegulatoryCall,CocCall,AcqCall,BookSizeModifier,Grenium,CollateralAmount,OfferedAmount,Servicer,AssetManager,tranche_bk_to_cvr,quarter,month,week,year,normalized_tenor,ratings
0,25023783,"Appalachian Power PRICED Citi,CIBC,RBC,SMBC Nikko",2022-07-29T09:31:14,Priced,Appalachian Power Co,Corporate,USD,500.0,USD500m,m,10.01,,Americas,Appalachian Power Co,Investment Grade,3SCHO1ABYYIG382BEI70,"ISIN:US037735DA25,CUSIP:037735DA2",8/1/2032,Fixed,UNITED STATES,,5/1/2032,2022-07-28,"IPTs T+200 area,launch T+185 ,final T+185 ",,US Deal Pricing - Corporate / US New Issues,Citigroup Global Markets / CIBC / RBC Capital Markets / SMBC Nikko,Citi / CIBC / RBC / SMBC Nikko,,Baa1,Stable,A-,Stable,,,A-,Stable,,,,8/1/2022,,,"$2,000 &  $1,000",SEC registered,"USD 10yr SEC registered. Baa1/A-. Citi/CIBC/RBC. IPTs T+200 area, launch 500m (form 400m) at T+185. ",,Utilities,,GCP,,Electric Utilities,,,2/1/2023,4.5,T+185,,,,,15.0,,99.737,0.0,4.533,99.737,,,,,,,ANNOUNCED - Appalachian Power Co US$ 10-year: IPTs: T+200a - 2022-07-28 13:38 / PRICED - Appalachian Power Co US$500m 10-year at T+185bp - 2022-07-28 23:29,,,AEP,UNITED STATES,,400.0,,False,,,False,False,False,,3 months,,T+30,,,,,,,,,,,,2022Q3,2022-07,2022-30,2022,10,A
1,25023769,"POSCO PRICED BNPP,Citi,HSBC,HSBC,StCh,BofA",2022-07-28T13:52:35,Priced,POSCO,Corporate,USD,300.0,USD300m,m,5.0,,Asia,Posco Holdings Inc,Emerging Markets,988400E5HRVX81AYLM04,,8/4/2027,Fixed,SOUTH KOREA,,,2022-07-28,"IPG T+210 area,FPG T+185 (the #),launch T+185 ,final T+185 ",,Asia Deal Pricing - Asia G3 / Asia Deal Pricing - Other Asia / Asia New Issues / US Deal Pricing - Corporate / US New Issues,BNP Paribas / Citigroup Global Markets / HSBC  / Standard Chartered Bank / Bank of America,BNPP / Citi / HSBC / StCh / BofA,,Baa1,,A-,,,,,,,,,8/4/2022,Frankfurt,New York State,US$200k/1k,RegS/144A,"Adds stats. USD  3yr + 5yr RegS/144A. Baa1/A-.  BNPP/Citi/HSBC(B&D)/StCh.  IPGs T+190 area / T+210 area, FPGs T+160/T+185 the #s. launch 700m/300m. ",,Mineral Resources,,"GCP,Refinance",,Iron & Steel,,,,4.5,T+185,1500.0,1.5bn,bn,170.0,,,99.593,5.0,4.592,99.593,,,,,,,"Posco mandates for US$ 3yr and/or 5yr bond - 2022-07-26 01:51 / ALERT: Posco US$ 3yr IPG at T+190bp area, 5yr at T+210bp area - 2022-07-28 01:21 / Posco US$ 3yr IPG T+190bp area, 5yr T+210bp area - 2022-07-28 01:32 / Final guidance for Posco USD 3yr and 5yr - 2022-07-28 10:49 / Posco launched: USD700m 3yr and USD300m 5yr - 2022-07-28 13:51 / PRICED - Posco : USD700m 3yr and USD300m 5yr - 2022-07-28 20:54 / Posco prices US$1bn 3yr/5yr 144A/Reg S at T+160bp/185bp - 2022-07-29 01:49 / UPDATE 1 - Posco prices US$1bn 3yr/5yr 144A/Reg S at T+160bp/185bp - 2022-07-29 07:36 / Posco steels for choppy markets - 2022-07-29 08:16 / Posco steeled for choppy markets - 2022-07-29 10:36",,"Asia 49%, EMEA 10%, US 41%. FM/AM 54%, Ins/PF 28%, Tsy 13%, PB/Other 5%.
",POSCO,SOUTH KOREA,,,,False,,,False,False,False,,,,,,,,,+,,,,,,5.0,2022Q3,2022-07,2022-30,2022,5,A
2,25023744,"POSCO PRICED BNPP,Citi,HSBC,HSBC,StCh,BofA",2022-07-28T13:52:35,Priced,POSCO,Corporate,USD,700.0,USD700m,m,3.0,,Asia,Posco Holdings Inc,Emerging Markets,988400E5HRVX81AYLM04,,8/4/2025,Fixed,SOUTH KOREA,,,2022-07-28,"IPG T+190 area,FPG T+160 (the #),launch T+160 ,final T+160 ",,Asia Deal Pricing - Asia G3 / Asia Deal Pricing - Other Asia / Asia New Issues / US Deal Pricing - Corporate / US New Issues,BNP Paribas / Citigroup Global Markets / HSBC  / Standard Chartered Bank / Bank of America,BNPP / Citi / HSBC / StCh / BofA,,Baa1,,A-,,,,,,,,,8/4/2022,Frankfurt,New York State,US$200k/1k,RegS/144A,"Adds stats. USD  3yr + 5yr RegS/144A. Baa1/A-.  BNPP/Citi/HSBC(B&D)/StCh.  IPGs T+190 area / T+210 area, FPGs T+160/T+185 the #s. launch 700m/300m. ",,Mineral Resources,,"GCP,Refinance",,Iron & Steel,,,,4.375,T+160,2100.0,2.1bn,bn,170.0,,,99.786,3.0,4.452,99.786,,,,,,,"Posco mandates for US$ 3yr and/or 5yr bond - 2022-07-26 01:51 / ALERT: Posco US$ 3yr IPG at T+190bp area, 5yr at T+210bp area - 2022-07-28 01:21 / Posco US$ 3yr IPG T+190bp area, 5yr T+210bp area - 2022-07-28 01:32 / Final guidance for Posco USD 3yr and 5yr - 2022-07-28 10:49 / Posco launched: USD700m 3yr and USD300m 5yr - 2022-07-28 13:51 / PRICED - Posco : USD700m 3yr and USD300m 5yr - 2022-07-28 20:54 / Posco prices US$1bn 3yr/5yr 144A/Reg S at T+160bp/185bp - 2022-07-29 01:49 / UPDATE 1 - Posco prices US$1bn 3yr/5yr 144A/Reg S at T+160bp/185bp - 2022-07-29 07:36 / Posco steels for choppy markets - 2022-07-29 08:16 / Posco steeled for choppy markets - 2022-07-29 10:36",,"Asia 66%, EMEA 11%, US 23%. FM/AM 65%, INS/PF/OI 10%, Tsy 20%, PB/Other 5%.
",POSCO,SOUTH KOREA,,,,False,,,False,False,False,,,,,,,,,+,,,,,,3.0,2022Q3,2022-07,2022-30,2022,3,A
3,25023781,"Canadian Imperial Bank Of Commerce PRICED BofA,Barc,CIBC,CIBC,Citi,WFS,BNPP,CS,DB,GS,HSBC,JPM,Miz,MS,MUFG,UBS",2022-07-28T13:33:55,Priced,CIBC,FIG,USD,1350.0,USD1.35bn,bn,3.0,snr unsec,Canada,Canadian Imperial Bank of Commerce,Investment Grade,2IGI19DL77OX0HC3ZE78,"ISIN:US13607H6M92,CUSIP:13607H6M9",8/4/2025,Fixed,CANADA,,,2022-07-28,"IPTs T+135 area,guidance T+115 (the#),launch T+115 ,final T+115 ",,US Deal Pricing - Corporate / Canada Deal Pricing / US New Issues,Bank of America / Barclays / CIBC / Citigroup Global Markets / Wells Fargo Securities / BNP Paribas / CS - Credit Suisse  / Deutsche Bank Securities / Goldman Sachs / HSBC  / JP Morgan Securities Inc / Mizuho / Morgan Stanley / Mitsubishi UFJ International / UBS Securities,BofA / Barc / CIBC / Citi / WFS / BNPP / CS / DB / GS / HSBC / JPM / Miz / MS / MUFG / UBS,,A2,Stable,A-,Stable,,,AA-,Stable,,,,8/4/2022,,,"2,000 x 1,000",SEC registered,"USD bn 2-tranche snr unsec SEC registered. A2/A-. BofA/Barc/CIBC/Citi/WFS. 3yr USD1.35bn IPts T+135 area, set T+115, FRN dropped. Adds  NIP, bks. ",,Banking & Investment Services,,GCP,,Banks,,,2/4/2023,3.945,T+115,2000.0,2bn,bn,,15.0,,100.0,1.48,3.945,100.0,,,,,,,ANNOUNCED - Canadian Imperial Bank of Commerce US$ 2pt 3yr FXD/FRN - 2022-07-28 13:23 / GUIDANCE - Canadian Imperial Bank of Commerce US$  3yr FXD: T+115bp(the#) - 2022-07-28 16:48 / LAUNCH - Canadian Imperial Bank of Commerce US$1.35bn 3yr FXD at T+115bp - 2022-07-28 17:48 / PRICED - Canadian Imperial Bank of Commerce US$1.35bn 3yr FXD at T+115bp - 2022-07-28 19:42,,,CM,CANADA,,,,False,,,False,False,False,,,,T+20,,,,,,,,,,,1.48,2022Q3,2022-07,2022-30,2022,3,A
4,25023780,"General Motors Co PRICED Barc,BNPP,BNPP,BofA,Citi,CA-CIB,GS,JPM,MS",2022-07-28T13:29:29,Priced,General Motors Company,Corporate,USD,1250.0,USD1.25bn,bn,10.21,snr unsec,Americas,General Motors Co,Investment Grade,54930070NSV60J38I987,,10/15/2032,Fixed,UNITED STATES,,,2022-07-28,"IPTs T+320 area,guidance T+295 (the#),launch T+295 ,final T+295 ",,US Deal Pricing - Corporate / US New Issues,Barclays / BNP Paribas / Bank of America / Citigroup Global Markets / Credit Agricole CIB (CA-CIB) / Goldman Sachs / JP Morgan Securities Inc / Morgan Stanley,Barc / BNPP / BofA / Citi / CA-CIB / GS / JPM / MS,,Baa2,,BBB,,,,BBB-,,,,,8/2/2022,,,,SEC registered,"USD2.25bn 2-tranche snr unsec Green SEC registered. Baa2/BBB/BBB-. Barc/BNPP/BofA/Citi/CA-CIB/GS/JPM/MS. 7.21yr USD1bn T+270,  10.21yr USD1.25bn T+295,  Adds bks, NIPs. ",,Automobiles & Auto Parts,,Refinance,,Auto & Truck Manufacturers,,,,5.6,T+295,3400.0,3.4bn,bn,,12.0,,99.756,2.72,5.633,99.756,,,,,,,ANNOUNCED - General Motors Company US$ 2pt 7yr &10yr - 2022-07-28 13:18 / GUIDANCE - General Motors Company US$ 2pt 7yr &10yr - 2022-07-28 16:29 / LAUNCH - General Motors Company US$2.25bn 2pt 7yr &10yr - 2022-07-28 17:36 / PRICED - General Motors Company US$2.25bn 2pt 7yr &10yr - 2022-07-28 20:03,,,GM,UNITED STATES,,,,True,Green,,False,False,False,,3 Months,,T+45,,,,,,,,,,,2.72,2022Q3,2022-07,2022-30,2022,10,BBB
5,25023779,"General Motors Co PRICED Barc,BNPP,BNPP,BofA,Citi,CA-CIB,GS,JPM,MS",2022-07-28T13:29:28,Priced,General Motors Company,Corporate,USD,1000.0,USD1bn,bn,7.21,snr unsec,Americas,General Motors Co,Investment Grade,54930070NSV60J38I987,,10/15/2029,Fixed,UNITED STATES,,,2022-07-28,"IPTs T+295 area,guidance T+270 (the#),launch T+270 ,final T+270 ",,US Deal Pricing - Corporate / US New Issues,Barclays / BNP Paribas / Bank of America / Citigroup Global Markets / Credit Agricole CIB (CA-CIB) / Goldman Sachs / JP Morgan Securities Inc / Morgan Stanley,Barc / BNPP / BofA / Citi / CA-CIB / GS / JPM / MS,,Baa2,,BBB,,,,BBB-,,,,,8/2/2022,,,,SEC registered,"USD2.25bn 2-tranche snr unsec Green SEC registered. Baa2/BBB/BBB-. Barc/BNPP/BofA/Citi/CA-CIB/GS/JPM/MS. 7.21yr USD1bn T+270,  10.21yr USD1.25bn T+295,  Adds bks, NIPs. ",,Automobiles & Auto Parts,,Refinance,,Auto & Truck Manufacturers,,,,5.4,T+270,2900.0,2.9bn,bn,,10.0,,99.908,2.9,5.417,99.908,,,,,,,ANNOUNCED - General Motors Company US$ 2pt 7yr &10yr - 2022-07-28 13:18 / GUIDANCE - General Motors Company US$ 2pt 7yr &10yr - 2022-07-28 16:29 / LAUNCH - General Motors Company US$2.25bn 2pt 7yr &10yr - 2022-07-28 17:36 / PRICED - General Motors Company US$2.25bn 2pt 7yr &10yr - 2022-07-28 20:03,,,GM,UNITED STATES,,,,True,Green,,False,False,False,,2 Months,,T+45,,,,,,,,,,,2.9,2022Q3,2022-07,2022-30,2022,7,BBB
6,25023738,"Capital One Financial PRICED BofA,Barc,MS,MS,MS,WFS,CapOne,Blaylock,RSeelaus,Ramirez,Siebert Williams",2022-07-25T13:15:59,Priced,Capital One Financial Corporation,FIG,USD,900.0,USD900m,m,8.0,snr unsec,Americas,Capital One Financial Corp,Investment Grade,ZUE8T73ROZOF6FLBAR73,"ISIN:US14040HCV50,CUSIP:14040HCV5",7/26/2030,Fixed-to-Floater,UNITED STATES,,7/26/2029,2022-07-25,"IPTs T+255 area,guidance T+235 (the#),launch T+235 ,final T+235 ",,US Deal Pricing - Corporate / US New Issues,"Bank of America / Barclays / Morgan Stanley / Wells Fargo Securities / Capital One Securities, Inc / Blaylock Van, LLC  / R. Seelaus & Co., Inc. / Ramirez & Co / Siebert Williams Shank & Co., LLC",BofA / Barc / MS / WFS / CapOne / Blaylock / RSeelaus / Ramirez / Siebert Williams,,Baa1,Stable,BBB,Stable,,,A-,Stable,,,,7/27/2022,,,"2,000 x 1,000",SEC registered,"USD m 2-tranche snr unsec SEC registered. Baa1/BBB/A-. BofA/Barc/MS/WFS. 3.99NC3 USD  T+220 area, NC7 USD  T+255 area, TBP Jul 25 / SOFR BACK END: 4NC3 - SOFR+216Bps, 8NC7 - SOFR+260bps",,Banking & Investment Services,,GCP,,Consumer Lending,,,1/26/2023,5.247,T+235,1700.0,1.7bn,bn,,7.0,,100.0,1.89,5.247,100.0,,,,,,,"ANNOUNCED - Capital One US$ 2pt 4yr NC3 & 8yr NC7 F-T-F's - 2022-07-25 13:05 / GUIDANCE - Capital One US$ benchmark 2-part; 4NC3, 8NC7 F-T-F's - 2022-07-25 17:28 / LAUNCH - Capital One US$2.25bn 2-part; 4NC3, 8NC7 F-T-F's - 2022-07-25 18:58",,,COF,UNITED STATES,,,,False,,,False,False,False,7/26/2029,1 year,,,,,,,,,,,,,1.89,2022Q3,2022-07,2022-30,2022,8,BBB
7,25023737,"Capital One Financial PRICED BofA,Barc,MS,MS,MS,WFS,CapOne,Blaylock,RSeelaus,Ramirez,Siebert Williams",2022-07-25T13:15:58,Priced,Capital One Financial Corporation,FIG,USD,1350.0,USD1.35bn,bn,4.0,snr unsec,Americas,Capital One Financial Corp,Investment Grade,ZUE8T73ROZOF6FLBAR73,"ISIN:US14040HCU77,CUSIP:14040HCU7",7/24/2026,Fixed-to-Floater,UNITED STATES,,7/24/2025,2022-07-25,"IPTs T+220 area,guidance T+200 (the#),launch T+200 ,final T+200 ",,US Deal Pricing - Corporate / US New Issues,"Bank of America / Barclays / Morgan Stanley / Wells Fargo Securities / Capital One Securities, Inc / Blaylock Van, LLC  / R. Seelaus & Co., Inc. / Ramirez & Co / Siebert Williams Shank & Co., LLC",BofA / Barc / MS / WFS / CapOne / Blaylock / RSeelaus / Ramirez / Siebert Williams,,Baa1,Stable,BBB,Stable,,,A-,Stable,,,,7/27/2022,,,"2,000 x 1,000",SEC registered,"USD m 2-tranche snr unsec SEC registered. Baa1/BBB/A-. BofA/Barc/MS/WFS. 3.99NC3 USD  T+220 area, NC7 USD  T+255 area, TBP Jul 25 / SOFR BACK END: 4NC3 - SOFR+216Bps, 8NC7 - SOFR+260bps",,Banking & Investment Services,,GCP,,Consumer Lending,,,1/24/2023,4.985,T+200,2400.0,2.4bn,bn,,13.0,,100.0,1.78,4.985,100.0,,,,,,,"ANNOUNCED - Capital One US$ 2pt 4yr NC3 & 8yr NC7 F-T-F's - 2022-07-25 13:05 / GUIDANCE - Capital One US$ benchmark 2-part; 4NC3, 8NC7 F-T-F's - 2022-07-25 17:28 / LAUNCH - Capital One US$2.25bn 2-part; 4NC3, 8NC7 F-T-F's - 2022-07-25 18:58",,,COF,UNITED STATES,,,,False,,,False,False,False,7/24/2025,1 year,,,,,,,,,,,,,1.78,2022Q3,2022-07,2022-30,2022,4,BBB
8,25023736,"Fifth Third Bancorp PRICED Citi,GS,FITB",2022-07-25T13:11:45,Priced,Fifth Third Bancorp,FIG,USD,1000.0,USD1bn,bn,8.0,snr unsec,Americas,Fifth Third Bancorp,Investment Grade,THRNG6BD57P9QWTQLG42,,7/28/2030,Fixed-to-Floater,UNITED STATES,,7/28/2029,2022-07-25,"IPTs T+210 area,guidance T+187.5 (the#),launch T+187.5 ,final T+187.5 ",,US Deal Pricing - Corporate / US New Issues,Citigroup Global Markets / Goldman Sachs / Fifth Third Securities,Citi / GS / FITB,,Baa1,,BBB+,,,,,,,,,7/28/2022,,,,SEC registered,"USD1bn 8.01NC7 snr unsec SEC registered. Baa1/BBB+. Citi/GS/FITB. IPTs T+210 area, guidance T+187.5 (the#), launch T+187.5, final T+187.5 / (Back End: SOFR+212.7)",,Banking & Investment Services,,GCP,,Banks,,,,4.772,T+187.5,2000.0,2bn,bn,,12.5,,100.0,2.0,4.772,100.0,,,,,,,ANNOUNCED - Fifth Third Bancorp US$ 8yr F-T-F: IPTs: T+210a - 2022-07-25 12:55 / GUIDANCE - Fifth Third Bancorp US$ 8yr F-T-F: T+187.5bp(the#) - 2022-07-25 17:03 / LAUNCH - Fifth Third Bancorp US$1bn 8yr F-T-F at T+187.5bp - 2022-07-25 17:52 / PRICED - Fifth Third Bancorp US$1bn 8yr F-T-F at T+187.5bp - 2022-07-25 19:54,,,FITB,UNITED STATES,,,,False,,,False,False,False,7/28/2029,2 months,,,,,,,,,,,,,2.0,2022Q3,2022-07,2022-30,2022,8,BBB
9,25023735,"American Express PRICED Barc,CS,HSBC,RBC",2022-07-25T13:07:13,Priced,American Express Company,FIG,USD,1250.0,USD1.25bn,bn,11.0,snr unsec,Americas,American Express Co,Investment Grade,R4PP93JZOLY261QX3811,,8/3/2033,Fixed-to-Floater,UNITED STATES,,,2022-07-25,"IPTs T+190 area,guidance T+160 (the#),launch T+160 ,final T+160 ",,US Deal Pricing - Corporate / US New Issues,Barclays / CS - Credit Suisse  / HSBC  / RBC Capital Markets,Barc / CS / HSBC / RBC,,A2,,BBB+,,,,A,,,,,8/3/2022,,,,SEC registered,"USD m 3-tranche snr unsec SEC registered. A2/BBB+/A. Barc/CS/HSBC/RBC. 3.00yr USD  T+125 area,  3.00yr USD  SOFR Equiv,  11.01NC10 USD  T+190 area,  TBP Jul 25",,Banking & Investment Services,,GCP,,Consumer Lending,,,,4.42,T,3800.0,3.8bn,bn,,10.0,,100.0,3.04,4.42,100.0,,,,,,,"ANNOUNCED - American Express US$ 3pt 3yr FXD/FRN & 11yr NC10 F-T-F - 2022-07-25 12:51 / GUIDANCE - American Express US$ benchmark 3-part; 3yr FXD/FRN, 11NC10 F-T-F - 2022-07-25 17:26 / LAUNCH - American Express US$3.5bn 2-part; 3yr FXD & 11NC10 F-T-F - 2022-07-25 19:08 / PRICED - American Express US$3.5bn 2-part; 3yr FXD & 11NC10 F-T-F - 2022-07-25 20:23",,,AXP,UNITED STATES,,,,False,,,False,False,False,,3 months,,,,,,,,,,,,,3.04,2022Q3,2022-07,2022-30,2022,11,A
